,KICS
0,9396288
1,5767324
2,11654367
3,6294889
4,6203421
5,4555798
6,6436854
7,10219946
8,8700515
9,3446966
10,6670946
11,4171787
12,9728671
13,5025237
14,7816334
15,10202845
16,3124191
17,9826519
18,10862472
19,5094412
20,4743574
21,11091660
22,10843535
23,5304788
24,6804729
25,7547839
26,7871395
27,10719224
28,11972848
29,9335558
30,2018492
31,3848851
32,7138009
33,8476415
34,6266106
35,10258284
36,6186085
37,3762285
38,5535588
39,9592744
40,10616168
41,11338847
42,8329511
43,8818095
44,11191327
45,5358860
46,12206440
47,4459394
48,9591363
49,3245969
50,5975975
51,8553949
52,10388882
53,7900284
54,6310314
55,4852902
56,4071950
57,11854129
58,2994888
59,11904260
60,6070064
61,8525837
62,11754374
63,5437206
64,11819982
65,4137014
66,7121457
67,9963795
68,5702128
69,893004
70,11905409
71,4751614
72,5294802
73,11241782
74,7956033
75,5283113
76,9514424
77,7966814
78,9395926
79,9533098
80,10198207
81,12253381
82,6426507
83,2708570
84,9426813
85,9716387
86,9654989
87,11237330
88,10362180
89,8631066
90,12252762
91,7200590
92,9597569
93,10590538
94,8507034
95,9533597
96,10532731
97,7363146
98,7108212
99,8422710
100,9018736
101,6362958
102,8260072
103,8112446
104,8362758
105,3842363
106,6865507
107,11494741
108,5024263
109,8867880
110,9873834
111,4758367
112,5392286
113,10800573
114,4996612
115,8442576
116,10793172
117,8082538
118,6688609
119,7020305
120,10118671
121,6125893
122,8415474
123,8952713
124,7213162
125,11044770
126,7427148
127,4828029
128,2722037
129,3545589
130,6356331
131,5876002
132,9015569
133,11189108
134,7273406
135,11231150
136,8355349
137,7349331
138,8564020
139,9777480
140,4740400
141,11455233
142,5646300
143,10164655
144,12506463
145,9514852
146,10529542
147,9265119
148,8429085
149,8582348
150,5119572
151,9632267
152,2849534
153,10053995
154,6696216
155,6620375
156,3834102
157,3546753
158,7769210
159,11702078
160,9653461
161,5456027
162,9468769
163,9289759
164,11340972
165,4760272
166,8004888
167,8908779
168,8022836
169,7879392
170,11469163
171,7026288
172,3751466
173,9936521
174,6863308
175,8976889
176,9100095
177,9474226
178,7756344
179,10937956
180,11464250
181,9842972
182,3941575
183,10613866
184,11870043
185,5792590
186,7211156
187,12219305
188,10789361
189,6510468
190,5202399
191,9519463
192,9716440
193,11445318
194,2311499
195,11803727
196,8167206
197,9941707
198,10923402
199,9410410
200,11342838
201,9215566
202,8296020
203,5025688
204,8308831
205,9845684
206,3970220
207,7662711
208,11968174
209,6288923
210,11819520
211,3124657
212,5216455
213,4843816
214,5729976
215,4350914
216,8425675
217,3336745
218,11404916
219,6763459
220,6952771
221,7092525
222,7635524
223,8154832
224,3866552
225,6937296
226,6510194
227,9649445
228,5881813
229,6525623
230,2019662
231,6387662
232,11305631
233,8245505
234,12110418
235,12069675
236,11618638
237,9237783
238,11674903
239,9518090
240,10547255
241,9913471
242,7116699
243,7679130
244,9154246
245,9526763
246,6100142
247,6780699
248,2852798
249,5561010
250,7272991
251,3219698
252,6368757
253,8144467
254,3969976
255,4829020
256,12066619
257,5025147
258,6591473
259,10488071
260,10079753
261,9814359
262,11256096
263,11855689
264,9582169
265,4919614
266,3116775
267,12557540
268,8746834
269,9285838
270,6633420
271,10789361
272,9753409
273,8694617
274,10222250
275,11287956
276,6600579
277,3222163
278,7257241
279,9411199
280,6852359
281,5200076
282,8489900
283,6467725
284,8358214
285,11605089
286,2831027
287,5787132
288,7200910
289,4469290
290,10093467
291,8885816
292,3545377
293,7886432
294,3555278
295,4578825
296,6688997
297,10551312
298,8760788
299,9718336
300,7673999
301,2014616
302,11922056
303,9158548
304,10272693
305,7690880
306,7335578
307,7596233
308,11657396
309,8429409
310,11251549
311,10549289
312,11400413
313,6933060
314,7697303
315,6544888
316,12107210
317,9017946
318,10359296
319,5021042
320,9966511
321,12735062
322,6778099
323,4831649
324,6187304
325,6952585
326,12204489
327,5545815
328,2714415
329,9521461
330,12351412
331,11298135
332,3230580
333,11862915
334,7025203
335,8388399
336,5698104
337,9643065
338,5199554
339,9760444
340,4664909
341,9665776
342,9574730
343,5202286
344,9844659
345,11918855
346,7935916
347,6303971
348,8408920
349,10513991
350,11515918
351,7935706
352,9570235
353,5522313
354,9471831
355,8264198
356,3123693
357,9715200
358,2696547
359,8418220
360,2848919
361,9017791
362,5192660
363,8350796
364,10990223
365,11284169
366,12602332
367,11621651
368,6373783
369,11361075
370,11288624
371,3431126
372,11468556
373,9007040
374,5171333
375,8042126
376,11709707
377,9392747
378,8492678
379,11013233
380,10605155
381,10712873
382,11298751
383,10187896
384,7204025
385,7703404
386,10538371
387,8093387
388,8284301
389,4164372
390,7668779
391,7220741
392,2303356
393,9631844
394,6631226
395,12060189
396,9652078
397,10027725
398,10131897
399,12105960
400,10598142
401,5426926
402,8413707
403,8078396
404,10337695
405,7549389
406,9971477
407,7203835
408,7284159
409,11411029
410,7092051
411,8389292
412,4995372
413,10215121
414,7287368
415,6859833
416,8125304
417,5880374
418,7658785
419,5183357
420,8694123
421,9092513
422,8431695
423,9884627
424,11082722
425,10532561
426,12215591
427,4451756
428,8311858
429,11031297
430,7350738
431,5814173
432,5383548
433,5296036
434,5607987
435,4565794
436,10752443
437,11760165
438,5985708
439,6778358
440,4770712
441,4825739
442,5535942
443,10203256
444,9531847
445,5648757
446,9771453
447,10031091
448,3751118
449,9754429
450,5265563
451,5783874
452,6105715
453,2715495
454,8179973
455,6280952
456,6105516
457,5370683
458,9885882
459,5950676
460,10923702
461,7303249
462,7938392
463,10228975
464,9071314
465,6026324
466,5374253
467,9534205
468,7454983
469,3837722
470,11970190
471,4063966
472,10011415
473,4366110
474,8166963
475,5208448
476,7117918
477,6022348
478,9906804
479,10977133
480,3239214
481,7047697
482,8052325
483,8738863
484,10514649
485,5552319
486,10614046
487,7340545
488,4277862
489,11517321
490,6043855
491,6499873
492,5650322
493,11468870
494,9718641
495,10784996
496,11180003
497,4357578
498,5079735
499,10972430
500,5976295
501,6595350
502,6213879
503,5688154
504,3242122
505,8510560
506,6313603
507,10003243
508,3554600
509,7188017
510,5809587
511,6448010
512,11135674
513,11908565
514,11076199
515,10709570
516,6629205
517,9467425
518,10664679
519,11754056
520,11551226
521,10800830
522,8952604
523,6591189
524,8980010
525,7838889
526,4571119
527,12470673
528,8311590
529,3121926
530,9217682
531,7212040
532,8227752
533,6504830
534,2441151
535,11299484
536,6128145
537,6423700
538,11360955
539,11074452
540,4774278
541,12066601
542,6867166
543,11658986
544,10545080
545,7769544
546,11723854
547,5282952
548,9898736
549,7832684
550,9470036
551,5372141
552,6922719
553,4818963
554,8176919
555,8360850
556,9160275
557,11141320
558,2858292
559,5978470
560,6631512
561,8296569
562,5110116
563,11570683
564,9761605
565,5942605
566,9973073
567,7973912
568,1717994
569,9825812
570,10620301
571,6696542
572,7530847
573,6186203
574,5559791
575,11803373
576,4921784
577,6183736
578,8569838
579,3648803
580,10528258
581,7730872
582,7547613
583,6779947
584,7967253
585,9395752
586,5383615
587,9773214
588,10001154
589,7907476
590,8566072
591,4037446
592,7200934
593,6208382
594,3765216
595,2713821
596,6019923
597,5177047
598,12168921
599,6436590
600,10862542
601,5193912
602,4465314
603,8302473
604,8843512
605,4371103
606,10486589
607,8378326
608,4160876
609,4741688
610,3970168
611,8192490
612,8108608
613,7120955
614,8363095
615,9016621
616,10487138
617,9668989
618,10417308
619,8248719
620,1849321
621,7337938
622,4355012
623,7122249
624,5033804
625,4933192
626,8085273
627,3749581
628,6679014
629,4540885
630,4072955
631,5199774
632,11255877
633,9836825
634,6139477
635,9041803
636,8831942
637,8630330
638,8499316
639,6768355
640,5897952
641,9941526
642,12022669
643,4912393
644,4551480
645,6521016
646,3335305
647,5357565
648,3547916
649,7514850
650,8589348
651,10722313
652,5807141
653,8759169
654,11121569
655,9815804
656,9697612
657,6184044
658,5528497
659,7273986
660,4643976
661,11911820
662,7201931
663,10847937
664,5725611
665,8172525
666,9425664
667,8198171
668,5547702
669,6460612
670,4574314
671,4264634
672,10322913
673,9947229
674,2444068
675,6422854
676,11565395
677,9341032
678,4906891
679,8120944
680,9452062
681,8885304
682,10744632
683,7281445
684,8149053
685,3556885
686,5960974
687,7880924
688,6719579
689,9836088
690,10135862
691,7625166
692,12166418
693,7288291
694,9754882
695,10089870
696,8266356
697,4385923
698,11520310
699,4374861
700,3221310
701,7271381
702,6383356
703,11134030
704,11038074
705,8939987
706,5511496
707,5808573
708,8174245
709,2836412
710,10723034
711,7803049
712,11304958
713,8581207
714,4457582
715,10617142
716,8826156
717,7898677
718,5285205
719,10355698
720,5171031
721,5646890
722,4677207
723,11353213
724,12403391
725,7979378
726,8582680
727,8354884
728,7540456
729,8016180
730,8491779
731,7353858
732,3348847
733,1864305
734,5772668
735,10536030
736,10843590
737,6208018
738,12251908
739,7836880
740,8575213
741,6593461
742,9940943
743,8496391
744,9778632
745,8933735
746,3246930
747,3850609
748,11506602
749,6343039
750,3525381
751,2574543
752,11297198
753,2721030
754,9278818
755,6284073
756,11547102
757,9534585
758,6700672
759,3953057
760,4847475
761,7751325
762,4584702
763,9329322
764,5898124
765,6756740
766,4912175
767,3103396
768,9175616
769,9397647
770,8024268
771,11247404
772,11198449
773,9894429
774,6677473
775,7270773
776,9631368
777,7811448
778,12121293
779,10657956
780,8028897
781,9778123
782,4372025
783,4578159
784,1570617
785,12108870
786,10284901
787,9971860
788,11649847
789,7959313
790,10350908
791,12216617
792,10513604
793,6502767
794,2984005
795,10644539
796,12019642
797,11244265
798,7368914
799,7672969
800,10656405
801,8182443
802,11138484
803,7748752
804,6520259
805,4915996
806,3762840
807,8565205
808,4044649
809,7177090
810,8292190
811,6846510
812,9160706
813,12061216
814,7180298
815,3439965
816,10544828
817,3860240
818,10003533
819,10933028
820,11622315
821,10257750
822,9667700
823,7798984
824,8261336
825,5771796
826,12009027
827,5300094
828,10843779
829,8619736
830,9715138
831,10554999
832,4633721
833,11759700
834,6517200
835,5197844
836,9994184
837,5027750
838,9674564
