st_delivname,kepid,tm_designation,ra,dec,kepmag,teff,teff_prov,logg,logg_prov,feh,feh_prov,radius,mass,dens,prov_sec,nconfp,nkoi,ntce,st_quarters,st_vet_date
q1_q17_dr25_supp_stellar,757099,2MASS J19241033+3635377,291.04306,36.593810999999995,13.152000000000001,5519,PHO1,3.822,KIC0,-0.22,KIC0,2.109,1.077,0.1618,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,892195,2MASS J19240520+3638374,291.0217,36.643719,13.757,5522,PHO1,3.984,KIC0,-0.06,KIC0,1.6680000000000001,0.978,0.2971,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,892203,2MASS J19240579+3641430,291.02417,36.69529,13.575,5947,PHO1,4.08,KIC0,-0.12,KIC0,1.536,1.034,0.4018,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,893507,2MASS J19251501+3637596,291.31253,36.633228,12.517000000000001,5382,PHO1,3.917,KIC0,-0.38,KIC0,1.6840000000000002,0.854,0.252,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1025986,2MASS J19240808+3646157,291.03369,36.771042,10.15,5604,SPE68,4.226,SPE68,-0.12,SPE68,1.187,0.864,0.7283,DSEP,0,1,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1026321,2MASS J19242702+3647447,291.11261,36.795761,14.712,5619,SPE68,4.156000000000001,SPE68,-0.06,SPE68,1.32,0.91,0.5576,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1027030,2MASS J19250480+3643424,291.26999,36.728458,12.344000000000001,5829,SPE68,4.039,SPE68,0.06,SPE68,1.653,1.09,0.3398,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1027536,2MASS J19252996+3644446,291.37485,36.745739,12.886,5988,SPE68,4.302,SPE68,0.18,SPE68,1.247,1.14,0.8272,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1027740,2MASS J19254001+3643213,291.41672,36.722609999999996,13.658,5640,PHO1,4.136,KIC0,-0.16,KIC0,1.3319999999999999,0.886,0.5285,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1027948,2MASS J19254966+3644013,291.45694,36.733711,13.975999999999999,5889,PHO1,3.927,KIC0,-0.3,KIC0,1.829,1.033,0.2377,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1028018,2MASS J19255311+3647594,291.47131,36.799839,12.645999999999999,5543,SPE68,4.129,SPE68,0.04,SPE68,1.3780000000000001,0.93,0.5012,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1028201,2MASS J19260220+3645489,291.50919,36.763599,15.323,5706,SPE68,4.2219999999999995,SPE68,0.36,SPE68,1.367,1.137,0.6269,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1161092,2MASS J19235576+3652541,290.98236,36.88171,13.561,5791,PHO1,3.9989999999999997,KIC0,-0.72,KIC0,1.482,0.8,0.3459,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1161137,2MASS J19235832+3652262,290.99301,36.873940000000005,12.479000000000001,5782,SPE68,4.0760000000000005,SPE68,0.12,SPE68,1.574,1.078,0.3893,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1161145,2MASS J19235910+3652311,290.99627999999996,36.875332,12.357000000000001,5990,SPE68,4.315,SPE68,0.2,SPE68,1.23,1.142,0.8643,DSEP,0,0,0,,2018-01-06 0
q1_q17_dr25_supp_stellar,1161338,2MASS J19241139+3651297,291.04749,36.858261,13.907,5583,PHO1,3.907,KIC0,-0.2,KIC0,1.849,1.008,0.2246,DSEP,0,0,0,,2018-01-06 0
