KIC,Period,teff,logg,radius,mass,dens
10280371,15.122,5864.0,4.0939999999999985,1.473,0.982,0.4331
11921886,4.438,5510.0,3.639,2.608,1.08,0.08575
11768170,13.486,5295.0,3.701,2.696,1.331,0.09567
7269974,1.378,5539.0,4.332,1.098,0.9420000000000001,1.004
2163808,7.389,5739.0,4.051,1.486,0.905,0.3886
9649349,15.284,6049.0,3.966,1.819,1.117,0.2614
10667099,13.897,6023.0,4.387,1.083,1.04,1.154
9019366,16.609,5887.0,4.332,1.069,0.898,1.034
2571471,0.0,5676.0,4.048,1.4240000000000002,0.825,0.4025
8026402,0.0,5272.0,3.804,1.885,0.8240000000000001,0.1732
5124667,8.806,5501.0,4.001,1.569,0.9009999999999999,0.3285
7592010,15.502,5375.0,4.391,0.981,0.862,1.287
10979139,5.828,6047.0,4.383,1.124,1.114,1.106
7936501,13.94,5993.0,3.751,2.653,1.4480000000000002,0.1092
4279996,46.917,5949.0,3.892,1.94,1.07,0.2066
8247379,9.721,6046.0,4.357,1.048,0.91,1.114
4989977,13.027,5644.0,3.992,1.511,0.818,0.3338
11624249,16.641,5311.0,3.864,1.769,0.8340000000000001,0.2122
1295504,19.728,5528.0,3.645,3.107,1.556,0.07302
5524851,6.911,5297.0,3.743,2.006,0.8109999999999999,0.1414
8715052,11.996,5850.0,3.649,2.881,1.35,0.07955
10909933,13.963,5749.0,3.788,2.355,1.242,0.1339
10516046,13.698,5605.0,4.3889999999999985,1.01,0.9109999999999999,1.244
2836990,40.998,5981.0,4.372,1.043,0.9329999999999999,1.16
11405559,30.122,5418.0,4.147,1.351,0.935,0.5339
9003401,16.574,6000.0,4.363,1.126,1.068,1.053
7272739,0.141,5323.0,3.765,2.382,1.206,0.1257
6962774,16.681,5305.0,3.665,2.181,0.8009999999999999,0.1088
10596718,16.8,5799.0,4.301,1.105,0.892,0.9295
9245527,22.395,5891.0,3.641,3.01,1.4480000000000002,0.0748
2848856,21.736,6053.0,4.128,1.467,1.055,0.4702
6962798,13.201,6002.0,4.394,1.036,0.972,1.231
11128070,12.949,5959.0,4.338,1.001,0.7959999999999999,1.117
9913790,19.26,5765.0,4.291,1.171,0.977,0.8573
9847647,16.921,6020.0,3.939,1.732,0.95,0.2577
11135880,13.684,5721.0,3.806,2.211,1.141,0.1488
4736208,21.2,5979.0,4.386,1.054,0.986,1.187
8197041,0.0,5413.0,3.681,2.707,1.284,0.09111
6384035,2.087,5818.0,4.046,1.504,0.9179999999999999,0.3801
3831762,13.114,5487.0,3.827,2.305,1.3019999999999998,0.1496
9139753,16.642,5546.0,3.865,1.732,0.8029999999999999,0.2175
8964174,18.068,5623.0,4.319,1.041,0.823,1.027
11770245,16.706,5213.0,3.942,1.6869999999999998,0.9079999999999999,0.2666
8284817,13.624,6035.0,4.1560000000000015,1.281,0.858,0.5752
10351715,5.794,5747.0,4.3439999999999985,1.036,0.865,1.096
6719235,16.2,5654.0,3.824,2.296,1.2830000000000001,0.1492
11444868,15.239,5636.0,3.893,2.005,1.146,0.2002
8300063,18.278,5696.0,3.841,2.116,1.131,0.1683
9492028,11.552,5492.0,4.3580000000000005,1.003,0.8370000000000001,1.167
9158153,13.99,5578.0,4.003,1.507,0.835,0.3438
7820702,19.48,5462.0,4.295,1.162,0.972,0.8723
9419047,14.332,5827.0,4.23,1.215,0.915,0.7189
6609683,14.123,5947.0,4.392,1.013,0.9229999999999999,1.25
11547205,0.0,5979.0,4.341,0.974,0.758,1.157
5124445,12.802,5914.0,4.287,1.079,0.8220000000000001,0.9226
8332200,47.924,5623.0,4.2330000000000005,1.19,0.884,0.7386
2987321,0.0,6028.0,4.316,1.165,1.024,0.9124
7364979,14.281,5949.0,4.33,1.027,0.8220000000000001,1.07
12458691,10.163,5446.0,4.388,0.961,0.825,1.3090000000000002
3858988,13.56,5753.0,4.335,1.078,0.9179999999999999,1.03
4757794,18.177,6043.0,4.356,1.149,1.092,1.014
8191871,21.081,5772.0,3.872,2.128,1.228,0.1796
10319352,16.417,5626.0,4.101,1.521,1.065,0.4266
3839620,13.326,5991.0,4.289,1.135,0.914,0.8803
9720115,0.0,5835.0,4.298,1.103,0.882,0.9254
