,KIC,Period,teff_x,logg_x,radius_x,mass_x,dens_x,teff_y,logg_y,radius_y,mass_y,dens_y
0,10280371,15.122,5864.0,4.093999999999999,1.473,0.982,0.4331,5864,4.0939999999999985,1.473,0.982,0.4331
1,11921886,4.438,5510.0,3.639,2.608,1.08,0.08575,5510,3.639,2.608,1.08,0.08575
2,11768170,13.485999999999999,5295.0,3.701,2.696,1.331,0.09567,5295,3.701,2.696,1.331,0.09567
3,7269974,1.3780000000000001,5539.0,4.332,1.0979999999999999,0.942,1.004,5539,4.332,1.098,0.9420000000000001,1.004
4,2163808,7.388999999999999,5739.0,4.051,1.486,0.905,0.3886,5739,4.051,1.486,0.905,0.3886
5,9649349,15.284,6049.0,3.966,1.819,1.117,0.2614,6049,3.966,1.819,1.117,0.2614
6,10667099,13.897,6023.0,4.387,1.083,1.04,1.1540000000000001,6023,4.387,1.083,1.04,1.154
7,9019366,16.609,5887.0,4.332,1.069,0.898,1.034,5887,4.332,1.069,0.898,1.034
8,2571471,0.0,5676.0,4.048,1.4240000000000002,0.825,0.4025,5676,4.048,1.4240000000000002,0.825,0.4025
9,8026402,0.0,5272.0,3.804,1.885,0.8240000000000001,0.1732,5272,3.804,1.885,0.8240000000000001,0.1732
10,5124667,8.806000000000001,5501.0,4.001,1.569,0.901,0.3285,5501,4.001,1.569,0.9009999999999999,0.3285
11,7592010,15.502,5375.0,4.391,0.981,0.862,1.287,5375,4.391,0.981,0.862,1.287
12,10979139,5.827999999999999,6047.0,4.383,1.124,1.114,1.1059999999999999,6047,4.383,1.124,1.114,1.106
13,7936501,13.94,5993.0,3.7510000000000003,2.653,1.4480000000000002,0.1092,5993,3.751,2.653,1.4480000000000002,0.1092
14,4279996,46.917,5949.0,3.892,1.94,1.07,0.2066,5949,3.892,1.94,1.07,0.2066
15,8247379,9.721,6046.0,4.357,1.048,0.91,1.114,6046,4.357,1.048,0.91,1.114
16,4989977,13.027000000000001,5644.0,3.992,1.511,0.818,0.3338,5644,3.992,1.511,0.818,0.3338
17,11624249,16.641,5311.0,3.864,1.7690000000000001,0.8340000000000001,0.2122,5311,3.864,1.769,0.8340000000000001,0.2122
18,1295504,19.727999999999998,5528.0,3.645,3.1069999999999998,1.556,0.07302,5528,3.645,3.107,1.556,0.07302
19,5524851,6.9110000000000005,5297.0,3.7430000000000003,2.006,0.8109999999999999,0.1414,5297,3.743,2.006,0.8109999999999999,0.1414
20,8715052,11.995999999999999,5850.0,3.6489999999999996,2.8810000000000002,1.35,0.07955,5850,3.649,2.881,1.35,0.07955
21,10909933,13.963,5749.0,3.7880000000000003,2.355,1.242,0.1339,5749,3.788,2.355,1.242,0.1339
22,10516046,13.698,5605.0,4.388999999999999,1.01,0.911,1.244,5605,4.3889999999999985,1.01,0.9109999999999999,1.244
23,2836990,40.998000000000005,5981.0,4.372,1.043,0.933,1.16,5981,4.372,1.043,0.9329999999999999,1.16
24,11405559,30.122,5418.0,4.147,1.351,0.935,0.5339,5418,4.147,1.351,0.935,0.5339
25,9003401,16.574,6000.0,4.363,1.126,1.068,1.053,6000,4.363,1.126,1.068,1.053
26,7272739,0.141,5323.0,3.765,2.3819999999999997,1.206,0.1257,5323,3.765,2.382,1.206,0.1257
27,6962774,16.680999999999997,5305.0,3.665,2.181,0.8009999999999999,0.1088,5305,3.665,2.181,0.8009999999999999,0.1088
28,10596718,16.8,5799.0,4.301,1.105,0.892,0.9295,5799,4.301,1.105,0.892,0.9295
29,9245527,22.395,5891.0,3.641,3.01,1.4480000000000002,0.0748,5891,3.641,3.01,1.4480000000000002,0.0748
30,2848856,21.736,6053.0,4.128,1.4669999999999999,1.055,0.4702,6053,4.128,1.467,1.055,0.4702
31,6962798,13.200999999999999,6002.0,4.394,1.036,0.972,1.2309999999999999,6002,4.394,1.036,0.972,1.231
