KIC,Period
9396288,12.776
5767324,11.973
11654367,15.573
6294889,26.366
6203421,2.105
4555798,17.379
6436854,5.847
10219946,2.827
8700515,14.917
3446966,18.12
6670946,43.459
4171787,13.116
9728671,16.976
5025237,8.602
7816334,23.155
10202845,14.086
3124191,14.695
9826519,14.073
10862472,11.165
5094412,17.504
4743574,13.536
11091660,16.182
10843535,30.703
5304788,10.773
6804729,12.194
7547839,13.875
7871395,22.899
10719224,13.712
11972848,12.131
9335558,12.063
2018492,13.841
3848851,15.845
7138009,22.45
8476415,6.729
6266106,22.894
10258284,15.766
6186085,18.079
3762285,11.585
5535588,17.865
9592744,17.148
10616168,9.41
11338847,4.581
8329511,21.742
8818095,1.088
11191327,14.984
5358860,15.717
12206440,9.726
4459394,5.05
9591363,18.758
3245969,14.371
5975975,23.395
8553949,16.634
10388882,14.217
7900284,10.318
6310314,17.941
4852902,42.917
4071950,0.489
11854129,7.524
2994888,1.93
11904260,15.17
6070064,17.176
8525837,11.685
11754374,18.038
5437206,41.974
11819982,15.608
4137014,5.341
7121457,8.705
9963795,16.817
5702128,22.76
893004,14.998
11905409,10.051
4751614,21.232
5294802,11.318
11241782,12.662
7956033,12.649
5283113,20.41
9514424,14.259
7966814,12.301
9395926,5.807
9533098,13.829
10198207,17.232
12253381,15.135
6426507,4.188
2708570,14.808
9426813,5.454
9716387,16.636
9654989,15.562
11237330,13.418
10362180,9.193
8631066,16.358
12252762,16.129
7200590,16.727
9597569,12.486
10590538,19.694
8507034,14.225
9533597,12.904
10532731,14.743
7363146,6.982
7108212,16.006
8422710,25.334
9018736,30.724
6362958,3.694
8260072,14.572
8112446,7.07
8362758,11.92
3842363,16.376
6865507,13.199
11494741,47.286
5024263,16.802
8867880,10.248
9873834,17.382
4758367,5.739
5392286,5.509
10800573,30.669
4996612,15.84
8442576,6.236
10793172,15.255
8082538,18.928
6688609,13.724
7020305,19.946
10118671,14.878
6125893,6.752
8415474,2.995
8952713,15.662
7213162,18.291
11044770,8.429
7427148,12.03
4828029,19.863
2722037,16.384
3545589,18.621
6356331,6.924
5876002,9.555
9015569,14.97
11189108,11.573
