,KIC,Teff,logg,Mass,Period
0,1027110,4155,4.5,0.6046,1.7009999999999998
1,1027277,4326,4.57,0.6735,60.136
2,1160684,3952,4.48,0.5239,0.419
3,1161315,4247,4.59,0.6416,41.838
4,1163114,4049,4.53,0.5622,0.7659999999999999
5,1164584,4154,4.5,0.6042,0.37799999999999995
6,1577167,3836,4.79,0.4788,1.0
7,1718059,3918,4.71,0.5106,50.645
8,1720670,3927,4.72,0.5141,15.038
9,1724498,4270,4.61,0.6509,30.838
10,1995168,3916,4.71,0.5098,28.894000000000002
11,1995305,3274,5.03,0.2778,54.2
12,1996728,3549,4.88,0.3718,53.792
13,2010137,3859,4.48,0.4877,1.584
14,2014684,4028,4.54,0.5539,1.768
15,2016946,4064,4.81,0.5682,56.468
16,2020307,4387,4.49,0.6981,57.0
17,2166547,3743,4.83,0.4433,26.642
18,2282663,4125,4.56,0.5926,69.189
19,2283892,4280,4.84,0.6549,42.614
20,2284919,3564,4.82,0.3771,21.833000000000002
21,2285481,4304,4.53,0.6646,28.924
22,2297384,4184,4.54,0.6162,0.337
23,2297825,4169,4.52,0.6102,0.337
24,2305283,3495,4.86,0.3525,1.0
25,2306630,4329,4.77,0.6747,29.272
26,2309070,4361,4.45,0.6876,60.821000000000005
27,2424191,3929,4.44,0.5149,3.423
28,2436209,4179,4.53,0.6142,0.215
29,2436332,4054,4.5,0.5642,0.37799999999999995
30,2436814,4076,4.5,0.573,0.439
31,2436824,4066,4.5,0.569,0.317
32,2436849,4204,4.5,0.6243,19.81
33,2437040,4051,4.52,0.563,0.419
34,2437402,4144,4.52,0.6002,0.235
35,2437507,4024,4.47,0.5523,0.541
36,2437539,4150,4.49,0.6026,0.235
37,2437589,4163,4.52,0.6078,0.255
38,2437698,4182,4.53,0.6154,0.337
39,2437805,4147,4.51,0.6014,0.337
40,2437816,3996,4.47,0.5412,0.603
41,2437972,4266,4.55,0.6492,0.29600000000000004
42,2438038,4165,4.54,0.6086,0.37799999999999995
43,2438094,4158,4.47,0.6058,1.093
44,2439496,4321,4.68,0.6714,38.099000000000004
45,2442692,4040,4.41,0.5587,51.933
46,2443944,4336,4.47,0.6775,33.077
47,2448727,4325,4.51,0.6731,0.276
48,2451529,3337,4.98,0.2984,1.0
49,2557479,4081,4.48,0.575,62.174
50,2569360,4021,4.51,0.5511,0.501
51,2570518,4218,4.53,0.6299,0.501
52,2574699,4328,4.52,0.6743,36.213
53,2577056,4350,4.42,0.6832,37.097
54,2583649,4306,4.7,0.6654,42.31
55,2692429,4301,4.63,0.6634,20.526
56,2709731,4138,4.57,0.5978,15.154000000000002
57,2721113,3530,4.98,0.365,1.0
58,2721506,4149,4.43,0.6022,62.423
59,2831943,4108,4.4,0.5858,39.978
60,2833945,4311,4.64,0.6674,44.188
61,2834053,4322,4.7,0.6718,46.211000000000006
62,2837046,3383,4.99,0.3139,60.882
63,2845560,4250,4.58,0.6428,42.141999999999996
64,2846051,4012,4.46,0.5476,1.614
65,2846944,4049,4.54,0.5622,1.318
66,2847114,3914,4.51,0.509,1.318
67,2850262,4385,4.79,0.6973,46.371
68,2850322,4224,4.64,0.6323,64.21300000000001
69,2850913,4307,4.42,0.6658,0.215
70,2854099,4299,4.67,0.6626,0.9840000000000001
71,2854411,4354,4.57,0.6848,28.32
72,2971679,4107,4.47,0.5854,35.749
73,2972492,4317,4.55,0.6698,47.527
74,2985404,4323,4.66,0.6722,46.64
75,2986860,4181,4.51,0.615,1.093
76,2991497,3926,4.72,0.5137,43.636
77,3098586,4371,4.91,0.6916,25.184
78,3102561,4200,4.6,0.6227,41.699
79,3111407,4341,4.77,0.6795,43.983000000000004
80,3119525,3679,4.77,0.4193,1.0
81,3130278,4404,4.52,0.705,0.327
82,3216554,4223,4.53,0.6319,41.25899999999999
83,3218080,4299,4.45,0.6626,44.086000000000006
84,3228276,3249,5.12,0.2698,1.0
85,3232334,3932,4.54,0.5161,40.019
86,3232393,3941,4.72,0.5196,14.32
87,3234941,4269,4.61,0.6505,50.175
88,3235567,3601,4.88,0.3906,29.541999999999998
89,3236003,4213,4.6,0.6279,46.097
90,3248658,4081,4.47,0.575,38.115
91,3324375,4101,4.66,0.583,41.184
92,3328643,3932,4.71,0.5161,1.0
93,3329865,3960,4.45,0.5271,40.453
94,3331515,4135,4.62,0.5966,47.872
95,3335266,4326,4.4,0.6735,68.443
96,3335305,4370,4.52,0.6912,40.857
97,3346467,3951,4.71,0.5235,1.0
98,3352523,4025,4.53,0.5527,37.251
99,3353108,3906,4.77,0.5059,1.0
100,3353880,4287,4.64,0.6577,43.446999999999996
101,3426250,3990,4.7,0.5389,22.84
102,3426852,4089,4.57,0.5782,39.684
103,3430778,4299,4.62,0.6626,42.699
104,3430981,4154,4.57,0.6042,28.414
105,3431143,3725,4.58,0.4365,3.484
106,3431246,4058,4.63,0.5658,43.81399999999999
107,3432286,3755,4.84,0.4478,1.0
108,3439791,3753,4.78,0.4471,0.43700000000000006
109,3453664,4278,4.71,0.6541,57.562
110,3455493,4335,4.67,0.6771,19.973
111,3457861,3915,4.72,0.5094,1.0
112,3530287,4329,4.66,0.6747,28.76
113,3532233,4218,4.62,0.6299,41.082
114,3545291,3747,4.77,0.4448,29.272
115,3547906,3906,4.72,0.5059,67.378
116,3559731,4352,4.64,0.684,44.641000000000005
117,3561148,3507,4.05,0.3568,60.177
118,3633335,3691,4.59,0.4238,2.83
119,3633735,4293,4.38,0.6601,36.638000000000005
120,3642676,4318,4.61,0.6702,32.689
121,3658066,3909,4.79,0.5071,39.6
122,3658619,3388,4.92,0.3155,44.423
123,3658781,3551,4.92,0.3725,1.0
124,3728205,4254,4.58,0.6444,21.712
125,3731435,4201,4.48,0.6231,61.516999999999996
126,3735269,4220,4.53,0.6307,0.29600000000000004
127,3735699,3953,4.53,0.5243,2.605
128,3743562,4271,4.67,0.6513,30.741999999999997
129,3833890,4159,4.55,0.6062,27.287
130,3836105,4059,4.54,0.5662,1.788
131,3836257,3850,4.74,0.4842,1.0
132,3848056,4174,4.47,0.6122,35.31
133,3851673,4094,4.49,0.5802,19.691
134,3859706,4339,4.68,0.6787,39.56
135,3860871,4250,4.73,0.6428,40.765
136,3865534,4067,4.62,0.5694,41.455
137,3866232,3839,4.78,0.4799,17.526
138,3940781,4287,4.61,0.6577,38.732
139,3946065,4299,4.55,0.6626,52.653999999999996
140,3952780,4325,4.72,0.6731,39.629
141,3955963,3818,4.76,0.4719,51.031000000000006
142,3956389,3811,4.73,0.4692,1.0
143,3957332,4160,4.57,0.6066,19.921
144,3964632,3926,4.44,0.5137,1.287
145,3969220,4028,4.45,0.5539,1.349
146,3974127,4301,4.51,0.6634,0.225
147,4036311,4310,4.36,0.667,15.110999999999999
148,4042185,4361,4.69,0.6876,35.376999999999995
149,4044277,4360,4.67,0.6872,32.979
150,4060347,3837,4.74,0.4792,2.135
151,4063943,4080,4.74,0.5746,21.128
152,4071678,4283,4.49,0.6561,40.847
153,4076888,4365,4.74,0.6892,33.164
154,4077867,3490,4.92,0.3508,0.96
155,4078900,3903,4.73,0.5047,48.32899999999999
156,4136435,4255,4.61,0.6448,3.135
157,4137187,3868,4.73,0.4911,1.0
158,4139175,4217,4.53,0.6295,28.74
159,4140796,4219,4.48,0.6303,0.276
160,4142455,4314,4.59,0.6686,46.425
161,4143733,4103,4.6,0.5838,46.795
162,4147149,4319,4.62,0.6706,32.214
163,4148836,4400,4.57,0.7033,42.492
164,4149896,4346,4.79,0.6815,39.713
165,4155840,3431,4.9,0.3302,48.79
166,4157872,4297,4.61,0.6618,44.559
167,4158858,4183,4.66,0.6158,45.159
168,4242987,4113,4.6,0.5878,43.575
169,4246729,4189,4.53,0.6182,0.255
170,4248675,4208,4.28,0.6259,0.37799999999999995
171,4249500,3345,4.97,0.3011,50.032
172,4252080,3940,4.43,0.5192,1.4809999999999999
173,4253510,4077,4.54,0.5734,33.766999999999996
174,4262814,3721,4.76,0.435,20.276
175,4268911,4114,4.66,0.5882,56.178999999999995
176,4270283,4336,4.66,0.6775,31.741
177,4270441,3707,4.86,0.4297,20.278
178,4271075,4276,4.53,0.6533,47.958
179,4271415,4284,4.68,0.6565,30.590999999999998
180,4277598,3350,4.96,0.3028,52.623000000000005
181,4345291,4034,4.53,0.5563,44.718999999999994
182,4346953,4231,4.55,0.6351,0.39799999999999996
183,4347371,4345,4.41,0.6811,37.547
184,4348195,4213,4.62,0.6279,13.047
185,4357990,4228,4.66,0.6339,34.998000000000005
186,4358801,4382,4.63,0.6961,49.419
187,4358910,4363,4.54,0.6884,28.495
188,4367318,3653,4.81,0.4096,42.258
189,4371437,4320,4.45,0.671,26.576
190,4375359,3396,5.01,0.3183,45.812
191,4376841,3775,4.52,0.4554,4.271
192,4377055,3905,4.72,0.5055,23.761999999999997
193,4378642,4119,4.64,0.5902,32.412
194,4386094,4230,4.56,0.6347,35.555
195,4443512,4334,4.56,0.6767,30.834
196,4446937,4263,4.62,0.648,41.756
197,4454364,3604,4.83,0.3916,1.0
198,4456589,4263,4.51,0.648,24.98
199,4465790,4034,4.58,0.5563,20.442999999999998
200,4465957,3453,4.92,0.3379,1.0
201,4469629,4358,4.5,0.6864,36.781
202,4472096,4129,4.64,0.5942,11.136
203,4480680,4336,4.59,0.6775,47.016999999999996
204,4480880,4297,4.55,0.6618,42.952
205,4543237,3845,4.72,0.4822,1.0
206,4543424,4105,4.54,0.5846,39.815
207,4546719,4287,4.56,0.6577,33.481
208,4554999,4201,4.59,0.6231,47.886
209,4555523,3958,4.72,0.5263,21.954
210,4568493,4211,4.59,0.6271,55.982
211,4568737,4402,4.63,0.7042,37.133
212,4571307,4394,4.59,0.7009,40.561
213,4575141,3927,4.71,0.5141,1.0
214,4579983,4220,4.61,0.6307,33.736
215,4588827,4171,4.61,0.611,38.895
216,4646464,4378,4.57,0.6945,32.013000000000005
