KIC,Period
10280371,16.275
11921886,4.439
11768170,19.897
7269974,26.071
2163808,7.292
9649349,16.601
10667099,14.853
9019366,15.404
5124667,10.664
7592010,18.705
10979139,5.861
7936501,41.752
4279996,13.744
8247379,28.302
4989977,11.82
11624249,1.827
1295504,20.139
5524851,6.896
8715052,12.067
10909933,14.341
10516046,33.889
2836990,16.396
11405559,0.142
9003401,14.248
7272739,0.141
6962774,17.539
10596718,12.532
9245527,39.307
2848856,19.811
6962798,9.247
11128070,12.88
9913790,17.86
9847647,17.586
11135880,0.185
4736208,21.22
6384035,2.087
3831762,12.814
9139753,22.296
8964174,19.208
11770245,17.77
8284817,10.935
10351715,5.763
6719235,17.936
11444868,25.948
8300063,42.178
9492028,11.524
9158153,13.921
7820702,21.894
9419047,10.879
6609683,11.082
5124445,16.294
8332200,41.076
7364979,12.772
12458691,20.139
3858988,2.884
4757794,8.441
8191871,18.59
10319352,47.103
3839620,13.777
9720115,12.611
4274412,17.531
11616117,25.214
5811881,15.61
9593493,10.348
12122131,10.956
3533000,19.075
6836316,8.807
5383822,10.06
9548956,45.83
11515669,13.203
3326666,20.904
5254856,1.85
5598173,28.24
8163528,20.871
7008840,61.196
4058090,43.356
10583451,15.474
7960251,4.86
10257218,43.472
10578006,10.24
11547589,21.95
4572351,16.783
7988940,11.103
4841110,17.141
2570881,24.739
5613023,6.924
5568417,11.262
6140912,0.0
5127513,12.854
10090102,41.305
10224361,53.082
4846450,10.945
7529341,0.0
8045945,15.1
11036936,18.437
6526932,14.54
2011641,13.355
5616846,46.524
10601604,11.32
11389437,12.366
6676655,17.812
8647149,10.873
6863530,13.548
5033682,0.19
8886017,2.828
4242173,14.472
8038666,14.867
8442985,13.143
11673674,2.309
11753179,17.532
5899165,11.444
8938628,3.431
10878105,16.858
8655757,8.687
6923711,26.957
9994789,23.331
8895012,16.144
4447821,14.739
8029079,25.501
8077755,17.784
3330643,13.571
5715686,9.844
6222407,9.47
9909504,15.254
7362355,18.25
12504849,17.49
11188163,55.736
11075222,18.571
8456181,19.626
4640942,37.187
9050271,19.693
11655945,41.034
6941078,15.867
4916165,16.221
12157369,31.417
6267535,3.04
9944591,17.436
5025688,35.552
4246448,16.1
4820062,23.307
12208631,18.761
9784166,12.055
6605745,20.324
5940590,40.806
10801738,14.257
9398020,50.944
9815334,50.499
7185607,27.909
12509088,14.549
9051723,0.202
10656508,10.366
5697072,16.046
4443452,41.6
9458127,33.708
6497336,22.786
3869891,11.175
7986726,0.0
7918653,12.749
9285636,20.773
5444548,15.371
10594040,5.474
11456170,8.039
3965661,12.694
6188437,17.001
3736105,18.329
11962791,21.974
10514649,23.882
3112234,17.409
9041133,35.846
4168903,57.074
5355471,18.262
4773496,0.0
8293403,33.958
7417322,20.533
7199917,0.567
8509361,18.95
12106092,46.179
6776594,16.546
6967105,10.496
6145937,20.734
6431741,11.136
9724635,16.724
2012005,36.966
12108333,0.353
10989278,8.064
8621911,12.234
6212024,18.888
8757293,20.961
9593390,10.502
10074149,16.178
5481695,13.72
11602191,17.114
9823415,29.819
10585775,18.609
7094022,3.077
10063527,21.68
8260135,18.076
7509667,0.0
11649990,1.989
3642402,16.15
10716302,0.0
3645789,13.69
5009384,0.0
1866778,7.848
8297569,24.034
10924142,41.209
11254382,10.599
8580438,3.248
5637994,3.719
5449264,48.778
5282313,38.145
6422390,14.769
5822286,5.588
3943262,17.279
6344224,12.745
9692557,14.532
10855313,34.358
7339348,79.14
4731961,11.753
5340535,20.207
8473971,28.361
7008719,16.646
8054838,14.023
8189674,19.527
11807529,12.387
12011535,16.491
11672461,41.296
7523145,8.614
5450893,9.378
4248221,13.203
9715739,46.788
6128841,94.174
9409185,17.867
6627158,18.57
5343741,16.341
9945576,28.795
4916520,12.737
6755706,24.685
1868676,17.357
11519516,22.104
9242465,14.135
4047918,0.0
2285621,18.781
8813698,12.793
9964492,12.079
8581574,48.691
8126029,13.489
10615440,7.537
5003566,17.125
3837456,20.308
6392768,12.368
10355387,24.219
6211942,12.11
7037723,11.861
7848790,24.389
11013409,8.998
9118981,1.495
8289534,18.615
9366989,0.61
2720309,0.207
5729890,16.962
9706565,9.348
8413815,69.222
8344820,9.608
6504503,30.881
5772558,20.752
11410948,20.629
6212235,35.25
7378181,18.888
7699242,17.318
3853942,8.939
8295304,17.853
5040480,8.258
5438471,13.158
5610665,17.552
8039785,11.972
5476497,20.577
4345548,24.665
9300457,23.083
9897010,41.543
4663251,12.897
2854141,20.263
7515994,33.956
8128665,0.0
7820866,16.216
4048526,35.521
8711555,3.435
2582973,53.564
11725348,17.853
7840145,6.341
8656361,5.131
10753401,14.36
8885419,39.06
8558997,17.648
9397038,61.659
7341020,6.85
1571088,18.394
7139200,44.549
11015239,13.66
8983703,37.499
2831252,16.546
8903821,19.576
7764984,12.209
7664422,14.81
9452683,0.0
4567165,10.085
5020319,9.212
3743231,22.189
9693187,16.154
7284881,17.14
8277130,15.18
12218727,89.343
10556590,14.074
9096192,24.441
5696708,24.962
7548035,4.926
5215494,0.0
3975754,16.736
8581545,4.851
3743537,0.0
5788648,9.197
5120447,15.684
6463806,4.163
7420967,23.214
11297580,24.913
6183129,13.198
7287978,13.687
5696699,16.489
5868059,9.689
2141736,18.858
6446053,14.765
7373387,13.816
8363660,26.708
11177676,14.986
10517557,41.145
9706901,31.048
11090687,17.527
11045409,15.378
7036763,13.46
8459744,17.062
7115012,13.164
10453588,16.243
7584294,14.839
3103698,14.467
7447645,15.971
9595994,21.114
3557141,18.502
10662300,42.124
4850488,9.096
4265354,13.394
9776327,10.744
8574113,10.551
4751423,24.419
11805480,87.184
8077380,22.955
6424073,41.635
3329136,17.258
9668665,41.28
10795039,46.788
7693724,22.038
5092731,10.224
8707570,0.0
6868860,21.408
7416306,50.171
5697805,16.557
5686759,17.524
5462311,17.509
7949677,15.568
5639617,41.222
4446140,16.851
10074605,11.747
7335509,53.665
8569698,13.417
2858292,19.107
8526878,8.837
7255555,45.437
9570221,17.978
10718535,20.639
8804283,14.105
6586208,19.282
10197841,21.791
7729207,16.537
9418746,12.641
4770798,13.698
11564870,5.366
5783428,23.121
8570436,8.108
5431009,16.36
1432789,14.148
10229329,24.086
8703528,0.2
6382838,0.0
5430087,13.861
8188972,52.864
12356966,18.219
10517413,18.32
8018709,12.664
5450253,17.462
6142585,36.802
7050370,51.975
8179635,15.041
6105359,17.346
9898857,14.725
10593587,17.621
2010835,27.427
5385647,16.021
4172164,41.351
3230787,8.866
6314433,16.731
11876347,23.738
11285935,11.224
757099,0.363
9245354,0.0
12105345,18.422
9048239,10.633
10844288,21.0
6425088,11.365
2283989,13.785
10586967,19.17
5184018,23.738
10580913,17.409
9107602,11.99
2998680,17.652
6182700,12.42
6185417,16.665
8574950,31.763
4066688,18.582
11361601,24.303
4633575,19.099
9963635,35.804
10385437,12.594
8678337,16.033
10924572,15.867
8737020,20.035
7013222,23.081
7362863,0.0
6307430,8.898
7765135,2.549
5954304,9.228
5450769,22.641
4480749,18.51
10554689,16.858
8053926,23.214
7377160,0.0
11460716,17.984
3437548,1.829
9592239,12.788
9183522,9.858
6766634,14.404
7598321,15.837
6963092,14.458
8935480,18.916
4474532,12.703
5780885,4.885
7283306,20.46
8949925,17.717
12884118,13.929
6343819,0.0
5943886,36.869
9152016,44.994
6182131,7.934
7770569,17.112
4248541,17.24
7017281,6.191
5636733,12.716
9345393,26.393
5731733,16.232
8377257,18.133
10580281,40.643
6509957,11.813
10583818,23.006
10399343,18.412
10089269,0.0
11499859,17.46
5000509,46.07
7918172,18.034
3437785,15.638
10404873,15.004
11290555,15.972
11200049,17.105
5271947,19.649
9673173,3.549
9569401,0.0
5019736,14.326
10160355,14.732
11571404,16.361
4555166,15.631
4571573,8.51
9137437,9.273
7372866,0.0
7741084,14.735
8684730,19.841
5269651,13.607
5096701,20.732
4548654,9.808
5861010,50.81
3448818,21.076
11140232,17.853
5783441,18.469
10264583,15.21
8048003,27.109
11074253,34.435
6468089,0.396
5900081,19.499
4759796,12.29
9291569,13.866
4908107,18.59
8914238,13.278
6791808,14.756
12118443,40.753
5905714,9.19
5164924,21.814
6463499,10.772
11857920,15.653
