,kepid
0,10280371
1,11921886
2,11768170
3,7269974
4,2163808
5,9649349
6,10667099
7,9019366
8,2571471
9,8026402
10,5124667
11,7592010
12,10979139
13,7936501
14,4279996
15,8247379
16,4989977
17,11624249
18,1295504
19,5524851
20,8715052
21,10909933
22,10516046
23,2836990
24,11405559
25,9003401
26,7272739
27,6962774
28,10596718
29,9245527
30,2848856
31,6962798
32,11128070
33,9913790
34,9847647
35,11135880
36,4736208
37,8197041
38,6384035
39,3831762
40,9139753
41,8964174
42,11770245
43,8284817
44,10351715
45,6719235
46,11444868
47,8300063
48,9492028
49,9158153
50,7820702
51,9419047
52,6609683
53,11547205
54,5124445
55,8332200
56,2987321
57,7364979
58,12458691
59,3858988
60,4757794
61,8191871
62,10319352
63,3839620
64,9720115
65,4274412
66,11616117
67,5811881
68,9593493
69,12122131
70,3533000
71,8196963
72,6836316
73,5383822
74,9548956
75,11515669
76,3326666
77,5254856
78,5598173
79,8163528
80,7008840
81,4058090
82,10583451
83,7960251
84,10257218
85,10578006
86,11547589
87,8386120
88,3729363
89,4572351
90,7988940
91,4841110
92,2570881
93,5613023
94,5568417
95,6140912
96,5127513
97,10090102
98,10224361
99,4846450
100,4575244
101,7529341
102,8045945
103,11036936
104,6526932
105,2011641
106,5616846
107,10601604
108,11389437
109,6676655
110,8647149
111,6863530
112,5033682
113,8886017
114,4242173
115,8038666
116,8442985
117,11673674
118,10935400
119,11753179
120,9285949
121,5899165
122,8938628
123,10878105
124,8655757
125,6923711
126,9994789
127,8895012
128,4447821
129,8029079
130,8077755
131,3330643
132,5715686
133,6222407
134,9909504
135,7362355
136,12504849
137,11188163
138,11075222
139,8456181
140,6099668
141,4640942
142,9050271
143,11655945
144,6941078
145,4916165
146,12157369
147,6267535
148,9944591
149,5025688
150,4246448
151,4820062
152,12208631
153,9784166
154,6605745
155,5940590
156,10801738
157,9398020
158,9815334
159,7185607
160,12509088
161,9051723
162,10656508
163,5697072
164,4443452
165,9458127
166,6497336
167,3869891
168,7986726
169,7918653
170,9285636
171,5444548
172,10594040
173,11456170
174,3965661
175,6188437
176,3736105
177,11962791
178,10514649
179,3112234
180,9041133
181,4168903
182,5355471
183,4773496
184,8293403
